ADCY1,AC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCY2,AC2,HBAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCY3,AC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCY5,AC5,FDFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCY6,AC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCY7,AC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCY8,AC8,ADCY3,HBAC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCY9,AC9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCYAP1,PACAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCYAP1R1,PAC1,PAC1R,PACAPR,PACAPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD1,ADDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD2,ADDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD3,ADDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADFN,ALDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLIN2,ADFP,ADRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH1A,ADH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH1B,ADH2,HEL-S-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH1C,ADH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH4,ADH-2,HEL-S-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH5,ADH-3,ADHX,FALDH,FDH,GSH-FDH,GSNOR,,,,,,,,,,,,,,,,,,,,,,,,,
ADH6,ADH-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH7,ADH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADK,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORA1,RDC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORA2A,A2aR,ADORA2,RDC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORA2B,ADORA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORA2BP1,ADORA2BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORA3,A3AR,AD026,bA552M11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPRH,ARH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP1,ADPRT,ADPRT 1,ADPRT1,ARTD1,PARP,PARP-1,PPOL,pADPRT-1,,,,,,,,,,,,,,,,,,,,,,,
PARP4,ADPRTL1,ARTD4,PARP-4,PARPL,PH5P,VAULT3,VPARP,VWA5C,p193,,,,,,,,,,,,,,,,,,,,,,
PARP1P1,ADPRTP1,PPOLP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP1P2,ADPRTP2,PPOLP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA1D,ADRA1,ADRA1A,ADRA1R,ALPHA1,DAR,dJ779E11.2,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA1B,ADRA1,ALPHA1BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA1A,ADRA1C,ADRA1L1,ALPHA1AAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA2A,ADRA2,ADRA2R,ADRAR,ALPHA2AAR,ZNF32,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA2B,ADRA2L1,ADRA2RL1,ADRARL1,ALPHA2BAR,alpha-2BAR,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA2C,ADRA2L2,ADRA2RL2,ADRARL2,ALPHA2CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRB1,ADRB1R,B1AR,BETA1AR,RHR,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRB2,ADRB2R,ADRBR,B2AR,BAR,BETA2AR,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRB3,BETA3AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRBK1,BARK1,BETA-ARK1,GRK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRBK2,BARK2,GRK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSL,AMPS,ASASE,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSS,ADEH,ADSS 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP2A1,ADTAA,AP2-ALPHA,CLAPA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP2A2,ADTAB,CLAPA2,HIP-9,HIP9,HYPJ,,,,,,,,,,,,,,,,,,,,,,,,,,
AP1B1,ADTB1,AP105A,BAM22,CLAPB2,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP2B1,ADTB2,AP105B,AP2-BETA,CLAPB1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP1G1,ADTG,CLAPG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEBP1,ACLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,AES-1,AES-2,ESP1,GRG,GRG5,TLE5,,,,,,,,,,,,,,,,,,,,,,,,,
CRISP1,AEGL1,ARP,CRISP-1,HSCRISP1D,HSCRISP1G,HUMARP,,,,,,,,,,,,,,,,,,,,,,,,,
AF8T,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFD1,AFDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG3L1P,AFG3,AFG3L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM,ALB2,ALBA,ALF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFP,FETA,HPAFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGA,AGU,ASRG,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN,AGC1,AGCAN,CSPG1,CSPGCP,MSK16,SEDK,,,,,,,,,,,,,,,,,,,,,,,,,
AGER,RAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,GDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGMX2,IMD6,XLA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRP,AGRT,ART,ASIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAG1,AGS,AHD,AWS,CD339,HJ1,JAGL1,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,ANHU,SERPINA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGTR1,AG2S,AGTR1B,AT1,AT1AR,AT1B,AT1BR,AT1R,AT2R1,HAT1R,,,,,,,,,,,,,,,,,,,,,,
AGTR2,AT2,ATGR2,MRX88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLNR,AGTRL1,APJ,APJR,HG11,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGXT,AGT,AGT1,AGXT1,PH1,SPAT,SPT,TLH6,,,,,,,,,,,,,,,,,,,,,,,,
NR0B1,AHC,AHCH,AHX,DAX-1,DAX1,DSS,GTD,HHG,NROB1,SRXY2,,,,,,,,,,,,,,,,,,,,,
AHCY,SAHH,adoHcyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR,bHLHe76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHSG,A2HS,AHS,FETUA,HSGA,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIF1,AIF-1,IBA1,IRT-1,IRT1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIH3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM1,CRYBG1,ST4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK1,HTL-S-58j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK2,ADK2,AK 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK4,AK 4,AK3,AK3L1,AK3L2,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK4P1,AK3P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,AKT,CWS6,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA,,,,,,,,,,,,,,,,,,,,,,,,
AKT2,HIHGHH,PKBB,PKBBETA,PRKBB,RAC-BETA,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAD,ALADH,PBGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAS1,ALAS,ALAS3,ALASH,MIG4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAS2,ALAS-E,ALASE,ANH1,ASB,XLDPP,XLEPP,XLSA,,,,,,,,,,,,,,,,,,,,,,,,
ALB,PRO0883,PRO0903,PRO1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCAM,CD166,MEMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD1,ABC42,ALD,ALDP,AMN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH1A1,ALDC,ALDH-E1,ALDH1,ALDH11,HEL-9,HEL-S-53e,HEL12,PUMB1,RALDH1,,,,,,,,,,,,,,,,,,,,,,
ALDH2,ALDH-E2,ALDHI,ALDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH3A1,ALDH3,ALDHIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH1B1,ALDH5,ALDHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH1A3,ALDH1A6,ALDH6,MCOP8,RALDH3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH3B1,ALDH4,ALDH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH3B2,ALDH8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH9A1,ALDH4,ALDH7,ALDH9,E3,TMABADH,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH3A2,ALDH10,FALDH,SLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCD2,ABC39,ALDL1,ALDR,ALDRP,hALDR,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDOA,ALDA,GSD12,HEL-S-87p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDOAP2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDOB,ALDB,ALDO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDOC,ALDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKR1B1,ADR,ALDR1,ALR2,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKR1B1P2,ALDRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,CD246,NBLST3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX12,12-LOX,12S-LOX,LOG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX5,5-LO,5-LOX,5LPG,LOG5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX5AP,FLAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX12B,12R-LOX,ARCI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX12P1,ALOX12P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX12P2,ALOX12E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX15,12-LOX,15-LOX-1,15LOX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOX15B,15-LOX-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPI,IAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPL,AP-TNAP,APTNAP,HOPS,TNAP,TNSALP,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPP,ALP,PALP,PLAP,PLAP-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPPL2,ALPG,ALPPL,GCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALS3,ALS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALS5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALX3,FND,FND1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBP,A1M,EDC1,HCP,HI30,IATIL,ITI,ITIL,ITILC,UTI,,,,,,,,,,,,,,,,,,,,,,
AMCN,AMC,AMC1,AMCN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD1,ADOMETDC,AMD,SAMDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMDP1,AMD,AMD2,AMDPX,AMDPY,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMELX,AI1E,AIH1,ALGN,AMG,AMGL,AMGX,,,,,,,,,,,,,,,,,,,,,,,,,
AMELY,AMGL,AMGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMFR,GP78,RNF45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMH,MIF,MIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMHR2,AMHR,MISR2,MISRII,MRII,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPD1,MAD,MADA,MMDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPD2,SPG63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPD3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPH,AMPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN1,AMPH2,AMPHL,SH3P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,GCE,GCST,GCVT,NKH,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY1A,AMY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY1B,AMY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY1C,AMY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY2A,AMY2,AMY2B,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY2B,AMY2,AMY3,HXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMYP1,AMY2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANCR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANG,ALS9,HEL168,RAA1,RNASE4,RNASE5,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGPT1,AGP1,AGPT,ANG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGPT2,AGPT2,ANG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANK1,ANK,SPH1,SPH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANK2,ANK-2,LQT4,brank-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANK3,ANKYRIN-G,MRT37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANOP1,MCOPS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANPEP,APN,CD13,GP150,LAP1,P150,PEPN,,,,,,,,,,,,,,,,,,,,,,,,,
SLC25A4,1,AAC1,ANT,ANT 1,ANT1,MTDPS12,PEO2,PEO3,T1,,,,,,,,,,,,,,,,,,,,,,
SLC25A5,2F1,AAC2,ANT2,T2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC25A6,2,3,AAC3,ANT,ANT 2,ANT 3,ANT3,ANT3Y,,,,,,,,,,,,,,,,,,,,,,,
ANXA1,ANX1,LPC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA2,ANX2,ANX2L4,CAL1H,HEL-S-270,LIP2,LPC2,LPC2D,P36,PAP-IV,,,,,,,,,,,,,,,,,,,,,,
ANXA2P1,ANX2L1,ANX2P1,LPC2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA2P2,ANX2L2,ANX2P2,LPC2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA2P3,ANX2L3,ANX2P3,LIP2,LPC2C,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA3,ANX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA4,ANX4,HEL-S-274,PIG28,ZAP36,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA5,ANX5,ENX2,HEL-S-7,PP4,RPRGL3,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA6,ANX6,CBP68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA7,ANX7,SNX,SYNEXIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA11,ANX11,CAP50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA13,ANX13,ISA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOAH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC2,DAO2,RAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOX1,AO,AOH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APAF1,APAF-1,CED4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUDT2,APAH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOF,Apo-F,LTIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APBA1,D9S411E,LIN10,MINT1,X11,X11A,X11ALPHA,,,,,,,,,,,,,,,,,,,,,,,,,
APBA2,D15S1518E,HsT16821,LIN-10,MGC:14091,MINT2,X11-BETA,X11L,,,,,,,,,,,,,,,,,,,,,,,,
APBB1,FE65,MGC:9072,RIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APBB2,FE65L,FE65L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC,BTPS2,DP2,DP2.5,DP3,GS,PPP1R46,,,,,,,,,,,,,,,,,,,,,,,,,
APCS,HEL-S-92n,PTX2,SAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRE,AIRE1,APECED,APS1,APSI,PGA1,,,,,,,,,,,,,,,,,,,,,,,,,,
APEH,AARE,ACPH,APH,D3F15S2,D3S48E,DNF15S2,OPH,,,,,,,,,,,,,,,,,,,,,,,,
APEX1,APE,APE1,APEN,APEX,APX,HAP1,REF1,,,,,,,,,,,,,,,,,,,,,,,,
BIRC2,API1,HIAP2,Hiap-2,MIHB,RNF48,c-IAP1,cIAP1,,,,,,,,,,,,,,,,,,,,,,,,
BIRC3,AIP1,API2,CIAP2,HAIP1,HIAP1,MALT2,MIHC,RNF49,c-IAP2,,,,,,,,,,,,,,,,,,,,,,
XIAP,API3,BIRC4,IAP-3,ILP1,MIHA,XLP2,hIAP-3,hIAP3,,,,,,,,,,,,,,,,,,,,,,,
BIRC5,API4,EPR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
